MAKE,MODEL,SERIES,MFR,TRIM,MFROM,YFROM,MTO,YTO,DOORS,CHASSIS,ELIT,ECODE,ENAME,ECONFIG,EVALVES,CAM,FUEL,INDUCT,NOTES,VVT,AWD,SEG,EDITION,FDEL,CARB,KW,DT,TRANS,MFG,SEATS,TSPEED,DIFF,ROOF,TBDG,TBRAND,CPACK,FSYS,BATT,FMKW,RMKW,CREATED,SPECS,ENGBADGE,IMGURLS
AMC,AMX,AMX Gen 1,AMX,Base,02,1968,08,1968,2,Sports Coupe,6.39,AMC 390,390 V8,V8,2,OHV,Petrol,NA,"390 cu in (6.39L) V8; 315 hp SAE gross; Carter AFB 4-barrel; 10.0:1 compression; forged steel crank and conrods; open diff standard; Go Package available: Twin-Grip LSD + front disc brakes + E70x14 RWL tires + handling pkg; AMC had no official AU distributor — grey import only",No,No,Muscle Car,N/A,Carburettor,1,235,RWD,Automatic,USA,2,3,Open,Hard,Borg-Warner Shift-Command 3-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,02,1968,08,1968,2,Sports Coupe,6.39,AMC 390,390 V8,V8,2,OHV,Petrol,NA,"390 cu in (6.39L) V8; 315 hp SAE gross; Carter AFB 4-barrel; 10.0:1 compression; forged steel crank and conrods; Go Package fitted: Twin-Grip LSD + front disc brakes + E70x14 RWL tires + handling pkg; AMC had no official AU distributor — grey import only",No,No,Muscle Car,Go Package,Carburettor,1,235,RWD,Automatic,USA,2,3,Twin-Grip,Hard,Borg-Warner Shift-Command 3-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,09,1968,08,1969,2,Sports Coupe,4.75,AMC 290,290 V8,V8,2,OHV,Petrol,NA,"290 cu in (4.75L) V8; 225 hp SAE gross; Carter AFB 4-barrel; 10.0:1 compression; Hurst floor shifter added to T-10 from January 1969; open diff standard; Go Package available: Twin-Grip LSD + front disc brakes + E70x14 RWL tires + handling pkg; AMC had no official AU distributor — grey import only",No,No,Muscle Car,N/A,Carburettor,1,168,RWD,Manual,USA,2,4,Open,Hard,Borg-Warner T-10 4-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,09,1968,08,1969,2,Sports Coupe,4.75,AMC 290,290 V8,V8,2,OHV,Petrol,NA,"290 cu in (4.75L) V8; 225 hp SAE gross; Carter AFB 4-barrel; 10.0:1 compression; Hurst floor shifter added to T-10 from January 1969; Go Package fitted: Twin-Grip LSD + front disc brakes + E70x14 RWL tires + handling pkg; AMC had no official AU distributor — grey import only",No,No,Muscle Car,Go Package,Carburettor,1,168,RWD,Manual,USA,2,4,Twin-Grip,Hard,Borg-Warner T-10 4-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,09,1968,08,1969,2,Sports Coupe,4.75,AMC 290,290 V8,V8,2,OHV,Petrol,NA,"290 cu in (4.75L) V8; 225 hp SAE gross; Carter AFB 4-barrel; 10.0:1 compression; open diff standard; Go Package available: Twin-Grip LSD + front disc brakes + E70x14 RWL tires + handling pkg; AMC had no official AU distributor — grey import only",No,No,Muscle Car,N/A,Carburettor,1,168,RWD,Automatic,USA,2,3,Open,Hard,Borg-Warner Shift-Command 3-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,09,1968,08,1969,2,Sports Coupe,4.75,AMC 290,290 V8,V8,2,OHV,Petrol,NA,"290 cu in (4.75L) V8; 225 hp SAE gross; Carter AFB 4-barrel; 10.0:1 compression; Go Package fitted: Twin-Grip LSD + front disc brakes + E70x14 RWL tires + handling pkg; AMC had no official AU distributor — grey import only",No,No,Muscle Car,Go Package,Carburettor,1,168,RWD,Automatic,USA,2,3,Twin-Grip,Hard,Borg-Warner Shift-Command 3-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,09,1968,08,1969,2,Sports Coupe,5.62,AMC 343,343 V8,V8,2,OHV,Petrol,NA,"343 cu in (5.62L) V8; 280 hp SAE gross; Carter AFB 4-barrel; 10.0:1 compression; Hurst floor shifter added to T-10 from January 1969; open diff standard; Go Package available: Twin-Grip LSD + front disc brakes + E70x14 RWL tires + handling pkg; AMC had no official AU distributor — grey import only",No,No,Muscle Car,N/A,Carburettor,1,209,RWD,Manual,USA,2,4,Open,Hard,Borg-Warner T-10 4-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,09,1968,08,1969,2,Sports Coupe,5.62,AMC 343,343 V8,V8,2,OHV,Petrol,NA,"343 cu in (5.62L) V8; 280 hp SAE gross; Carter AFB 4-barrel; 10.0:1 compression; Hurst floor shifter added to T-10 from January 1969; Go Package fitted: Twin-Grip LSD + front disc brakes + E70x14 RWL tires + handling pkg; AMC had no official AU distributor — grey import only",No,No,Muscle Car,Go Package,Carburettor,1,209,RWD,Manual,USA,2,4,Twin-Grip,Hard,Borg-Warner T-10 4-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,09,1968,08,1969,2,Sports Coupe,5.62,AMC 343,343 V8,V8,2,OHV,Petrol,NA,"343 cu in (5.62L) V8; 280 hp SAE gross; Carter AFB 4-barrel; 10.0:1 compression; open diff standard; Go Package available: Twin-Grip LSD + front disc brakes + E70x14 RWL tires + handling pkg; AMC had no official AU distributor — grey import only",No,No,Muscle Car,N/A,Carburettor,1,209,RWD,Automatic,USA,2,3,Open,Hard,Borg-Warner Shift-Command 3-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,09,1968,08,1969,2,Sports Coupe,5.62,AMC 343,343 V8,V8,2,OHV,Petrol,NA,"343 cu in (5.62L) V8; 280 hp SAE gross; Carter AFB 4-barrel; 10.0:1 compression; Go Package fitted: Twin-Grip LSD + front disc brakes + E70x14 RWL tires + handling pkg; AMC had no official AU distributor — grey import only",No,No,Muscle Car,Go Package,Carburettor,1,209,RWD,Automatic,USA,2,3,Twin-Grip,Hard,Borg-Warner Shift-Command 3-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,09,1968,08,1969,2,Sports Coupe,6.39,AMC 390,390 V8,V8,2,OHV,Petrol,NA,"390 cu in (6.39L) V8; 315 hp SAE gross; Carter AFB 4-barrel; 10.0:1 compression; forged steel crank and conrods; Hurst floor shifter added to T-10 from January 1969; open diff standard; Go Package available: Twin-Grip LSD + front disc brakes + E70x14 RWL tires + handling pkg; AMC had no official AU distributor — grey import only",No,No,Muscle Car,N/A,Carburettor,1,235,RWD,Manual,USA,2,4,Open,Hard,Borg-Warner T-10 4-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,09,1968,08,1969,2,Sports Coupe,6.39,AMC 390,390 V8,V8,2,OHV,Petrol,NA,"390 cu in (6.39L) V8; 315 hp SAE gross; Carter AFB 4-barrel; 10.0:1 compression; forged steel crank and conrods; Hurst floor shifter added to T-10 from January 1969; Go Package fitted: Twin-Grip LSD + front disc brakes + E70x14 RWL tires + handling pkg; AMC had no official AU distributor — grey import only",No,No,Muscle Car,Go Package,Carburettor,1,235,RWD,Manual,USA,2,4,Twin-Grip,Hard,Borg-Warner T-10 4-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,09,1968,08,1969,2,Sports Coupe,6.39,AMC 390,390 V8,V8,2,OHV,Petrol,NA,"390 cu in (6.39L) V8; 315 hp SAE gross; Carter AFB 4-barrel; 10.0:1 compression; forged steel crank and conrods; open diff standard; Go Package available: Twin-Grip LSD + front disc brakes + E70x14 RWL tires + handling pkg; AMC had no official AU distributor — grey import only",No,No,Muscle Car,N/A,Carburettor,1,235,RWD,Automatic,USA,2,3,Open,Hard,Borg-Warner Shift-Command 3-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,09,1968,08,1969,2,Sports Coupe,6.39,AMC 390,390 V8,V8,2,OHV,Petrol,NA,"390 cu in (6.39L) V8; 315 hp SAE gross; Carter AFB 4-barrel; 10.0:1 compression; forged steel crank and conrods; Go Package fitted: Twin-Grip LSD + front disc brakes + E70x14 RWL tires + handling pkg; AMC had no official AU distributor — grey import only",No,No,Muscle Car,Go Package,Carburettor,1,235,RWD,Automatic,USA,2,3,Twin-Grip,Hard,Borg-Warner Shift-Command 3-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
Rambler,AMX,AMX Gen 1,AMX,Base,08,1969,07,1970,2,Sports Coupe,5.62,AMC 343,343 V8,V8,2,OHV,Petrol,NA,"343 cu in (5.62L) V8; 280 hp SAE gross; Carter AFB 4-barrel; 10.0:1 compression; 24 RHD units assembled by AMI (Australian Motor Industries) Port Melbourne from CKD kits; engine serials Z49001Z-Z49024Z; badged 'Rambler AMX' in Australia; Twin-Grip LSD standard on all AU units; power steering + power disc brakes + Rally-Pak instruments + rally wheels standard; 2.87:1 rear axle; interior: Black only; colors: White + Safety Wattle Yellow + Signal Red; no manual gearbox offered for AU market",No,No,Muscle Car,RHD (AMI Assembly),Carburettor,1,209,RWD,Automatic,Australia,2,3,Twin-Grip,Hard,Borg-Warner Shift-Command 3-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,09,1969,08,1970,2,Sports Coupe,5.90,AMC 360,360 V8,V8,2,OHV,Petrol,NA,"360 cu in (5.90L) V8; 290 hp SAE gross; Motorcraft 4300 4-barrel; 10.0:1 compression; new short-deck block for 1970; replaces 343; open diff standard; Go Package available: Twin-Grip LSD + front disc brakes + F70-14 RWL tires + Ram-Air hood scoop + handling pkg + HD cooling; AMC had no official AU distributor — grey import only",No,No,Muscle Car,N/A,Carburettor,1,216,RWD,Manual,USA,2,4,Open,Hard,Borg-Warner T-10 4-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,09,1969,08,1970,2,Sports Coupe,5.90,AMC 360,360 V8,V8,2,OHV,Petrol,NA,"360 cu in (5.90L) V8; 290 hp SAE gross; Motorcraft 4300 4-barrel; 10.0:1 compression; new short-deck block for 1970; Go Package fitted: Twin-Grip LSD + front disc brakes + F70-14 RWL tires + Ram-Air hood scoop + handling pkg + HD cooling; AMC had no official AU distributor — grey import only",No,No,Muscle Car,Go Package,Carburettor,1,216,RWD,Manual,USA,2,4,Twin-Grip,Hard,Borg-Warner T-10 4-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,09,1969,08,1970,2,Sports Coupe,5.90,AMC 360,360 V8,V8,2,OHV,Petrol,NA,"360 cu in (5.90L) V8; 290 hp SAE gross; Motorcraft 4300 4-barrel; 10.0:1 compression; new short-deck block for 1970; open diff standard; Go Package available: Twin-Grip LSD + front disc brakes + F70-14 RWL tires + Ram-Air hood scoop + handling pkg + HD cooling; AMC had no official AU distributor — grey import only",No,No,Muscle Car,N/A,Carburettor,1,216,RWD,Automatic,USA,2,3,Open,Hard,Borg-Warner Shift-Command 3-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,09,1969,08,1970,2,Sports Coupe,5.90,AMC 360,360 V8,V8,2,OHV,Petrol,NA,"360 cu in (5.90L) V8; 290 hp SAE gross; Motorcraft 4300 4-barrel; 10.0:1 compression; new short-deck block for 1970; Go Package fitted: Twin-Grip LSD + front disc brakes + F70-14 RWL tires + Ram-Air hood scoop + handling pkg + HD cooling; AMC had no official AU distributor — grey import only",No,No,Muscle Car,Go Package,Carburettor,1,216,RWD,Automatic,USA,2,3,Twin-Grip,Hard,Borg-Warner Shift-Command 3-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,09,1969,08,1970,2,Sports Coupe,6.39,AMC 390,390 V8,V8,2,OHV,Petrol,NA,"390 cu in (6.39L) V8; 325 hp SAE gross; Motorcraft 4300 4-barrel; 10.0:1 compression; last year for 390 in AMX; open diff standard; Go Package available: Twin-Grip LSD + front disc brakes + F70-14 RWL tires + Ram-Air hood scoop + handling pkg + HD cooling; AMC had no official AU distributor — grey import only",No,No,Muscle Car,N/A,Carburettor,1,242,RWD,Manual,USA,2,4,Open,Hard,Borg-Warner T-10 4-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,09,1969,08,1970,2,Sports Coupe,6.39,AMC 390,390 V8,V8,2,OHV,Petrol,NA,"390 cu in (6.39L) V8; 325 hp SAE gross; Motorcraft 4300 4-barrel; 10.0:1 compression; last year for 390 in AMX; Go Package fitted: Twin-Grip LSD + front disc brakes + F70-14 RWL tires + Ram-Air hood scoop + handling pkg + HD cooling; AMC had no official AU distributor — grey import only",No,No,Muscle Car,Go Package,Carburettor,1,242,RWD,Manual,USA,2,4,Twin-Grip,Hard,Borg-Warner T-10 4-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,09,1969,08,1970,2,Sports Coupe,6.39,AMC 390,390 V8,V8,2,OHV,Petrol,NA,"390 cu in (6.39L) V8; 325 hp SAE gross; Motorcraft 4300 4-barrel; 10.0:1 compression; last year for 390 in AMX; open diff standard; Go Package available: Twin-Grip LSD + front disc brakes + F70-14 RWL tires + Ram-Air hood scoop + handling pkg + HD cooling; AMC had no official AU distributor — grey import only",No,No,Muscle Car,N/A,Carburettor,1,242,RWD,Automatic,USA,2,3,Open,Hard,Borg-Warner Shift-Command 3-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,09,1969,08,1970,2,Sports Coupe,6.39,AMC 390,390 V8,V8,2,OHV,Petrol,NA,"390 cu in (6.39L) V8; 325 hp SAE gross; Motorcraft 4300 4-barrel; 10.0:1 compression; last year for 390 in AMX; Go Package fitted: Twin-Grip LSD + front disc brakes + F70-14 RWL tires + Ram-Air hood scoop + handling pkg + HD cooling; AMC had no official AU distributor — grey import only",No,No,Muscle Car,Go Package,Carburettor,1,242,RWD,Automatic,USA,2,3,Twin-Grip,Hard,Borg-Warner Shift-Command 3-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,Javelin AMX,AMX/Javelin,Base,09,1970,08,1971,2,Fastback Coupe,5.90,AMC 360,360 V8,V8,2,OHV,Petrol,NA,"360 cu in (5.90L) V8; 245 hp SAE gross (final year of SAE gross ratings; from 1972 SAE net); 2-barrel carburettor; 8.5:1 compression; AMX becomes top trim on Javelin from 1971; T-15 3-speed base manual; open diff standard; Go Package available: Twin-Grip LSD + disc brakes; AMC had no official AU distributor — grey import only",No,No,Muscle Car,N/A,Carburettor,1,183,RWD,Manual,USA,4,3,Open,Hard,Borg-Warner T-15 3-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,Javelin AMX,AMX/Javelin,Base,09,1970,08,1971,2,Fastback Coupe,5.90,AMC 360,360 V8,V8,2,OHV,Petrol,NA,"360 cu in (5.90L) V8; 245 hp SAE gross (final year SAE gross); 2-barrel carburettor; 8.5:1 compression; AMX top trim on Javelin from 1971; Go Package fitted: Twin-Grip LSD + disc brakes; AMC had no official AU distributor — grey import only",No,No,Muscle Car,Go Package,Carburettor,1,183,RWD,Manual,USA,4,3,Twin-Grip,Hard,Borg-Warner T-15 3-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,Javelin AMX,AMX/Javelin,Base,09,1970,08,1971,2,Fastback Coupe,5.90,AMC 360,360 V8,V8,2,OHV,Petrol,NA,"360 cu in (5.90L) V8; 245 hp SAE gross (final year SAE gross); 2-barrel carburettor; 8.5:1 compression; AMX top trim on Javelin from 1971; open diff standard; Go Package available: Twin-Grip LSD + disc brakes; final year of Borg-Warner automatic — TorqueFlite from 1972; AMC had no official AU distributor — grey import only",No,No,Muscle Car,N/A,Carburettor,1,183,RWD,Automatic,USA,4,3,Open,Hard,Borg-Warner Shift-Command 3-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,Javelin AMX,AMX/Javelin,Base,09,1970,08,1971,2,Fastback Coupe,5.90,AMC 360,360 V8,V8,2,OHV,Petrol,NA,"360 cu in (5.90L) V8; 245 hp SAE gross (final year SAE gross); 2-barrel carburettor; 8.5:1 compression; AMX top trim on Javelin from 1971; Go Package fitted: Twin-Grip LSD + disc brakes; final year of Borg-Warner automatic — TorqueFlite from 1972; AMC had no official AU distributor — grey import only",No,No,Muscle Car,Go Package,Carburettor,1,183,RWD,Automatic,USA,4,3,Twin-Grip,Hard,Borg-Warner Shift-Command 3-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,Javelin AMX,AMX/Javelin,Base,09,1970,08,1971,2,Fastback Coupe,5.90,AMC 360,360 V8,V8,2,OHV,Petrol,NA,"360 cu in (5.90L) V8; 285 hp SAE gross (final year SAE gross); 4-barrel carburettor; AMX top trim on Javelin from 1971; open diff standard; Go Package available: Twin-Grip LSD + disc brakes; AMC had no official AU distributor — grey import only",No,No,Muscle Car,N/A,Carburettor,1,213,RWD,Manual,USA,4,4,Open,Hard,Borg-Warner T-10 4-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,Javelin AMX,AMX/Javelin,Base,09,1970,08,1971,2,Fastback Coupe,5.90,AMC 360,360 V8,V8,2,OHV,Petrol,NA,"360 cu in (5.90L) V8; 285 hp SAE gross (final year SAE gross); 4-barrel carburettor; AMX top trim on Javelin from 1971; Go Package fitted: Twin-Grip LSD + disc brakes; AMC had no official AU distributor — grey import only",No,No,Muscle Car,Go Package,Carburettor,1,213,RWD,Manual,USA,4,4,Twin-Grip,Hard,Borg-Warner T-10 4-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,Javelin AMX,AMX/Javelin,Base,09,1970,08,1971,2,Fastback Coupe,5.90,AMC 360,360 V8,V8,2,OHV,Petrol,NA,"360 cu in (5.90L) V8; 285 hp SAE gross (final year SAE gross); 4-barrel carburettor; AMX top trim on Javelin from 1971; open diff standard; Go Package available: Twin-Grip LSD + disc brakes; final year of Borg-Warner automatic; AMC had no official AU distributor — grey import only",No,No,Muscle Car,N/A,Carburettor,1,213,RWD,Automatic,USA,4,3,Open,Hard,Borg-Warner Shift-Command 3-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,Javelin AMX,AMX/Javelin,Base,09,1970,08,1971,2,Fastback Coupe,5.90,AMC 360,360 V8,V8,2,OHV,Petrol,NA,"360 cu in (5.90L) V8; 285 hp SAE gross (final year SAE gross); 4-barrel carburettor; AMX top trim on Javelin from 1971; Go Package fitted: Twin-Grip LSD + disc brakes; final year of Borg-Warner automatic; AMC had no official AU distributor — grey import only",No,No,Muscle Car,Go Package,Carburettor,1,213,RWD,Automatic,USA,4,3,Twin-Grip,Hard,Borg-Warner Shift-Command 3-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,Javelin AMX,AMX/Javelin,Base,09,1970,08,1971,2,Fastback Coupe,6.57,AMC 401,401 V8,V8,2,OHV,Petrol,NA,"401 cu in (6.57L) V8; 335 hp SAE gross (final year SAE gross; mid-year compression change 10.2:1 to 9.5:1 reduced rating to 330 hp); 4-barrel carburettor; new engine for 1971; AMX top trim on Javelin; open diff standard; Go Package available: Twin-Grip LSD + disc brakes; AMC had no official AU distributor — grey import only",No,No,Muscle Car,N/A,Carburettor,1,250,RWD,Manual,USA,4,4,Open,Hard,Borg-Warner T-10 4-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,Javelin AMX,AMX/Javelin,Base,09,1970,08,1971,2,Fastback Coupe,6.57,AMC 401,401 V8,V8,2,OHV,Petrol,NA,"401 cu in (6.57L) V8; 335 hp SAE gross (final year SAE gross; mid-year compression change 10.2:1 to 9.5:1 reduced rating to 330 hp); 4-barrel carburettor; new engine for 1971; AMX top trim on Javelin; Go Package fitted: Twin-Grip LSD + disc brakes; AMC had no official AU distributor — grey import only",No,No,Muscle Car,Go Package,Carburettor,1,250,RWD,Manual,USA,4,4,Twin-Grip,Hard,Borg-Warner T-10 4-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
